Model,Original Test Accuracy,Equalized Test Accuracy,Accuracy Drop
Histogram + SVM,0.9986013986013986,0.6335664335664336,0.365034965034965
ResNet18,0.9986013986013986,0.6377622377622377,0.3608391608391609
